accession,norm int m/z_126.127725,norm int m/z_127.12476,norm int m/z_128.134433,norm int m/z_129.131468,norm int m/z_130.141141,norm int m/z_131.138176,norm int m/z_126.127725_2,norm int m/z_127.12476_2,norm int m/z_128.134433_2,norm int m/z_129.131468_2,norm int m/z_130.141141_2,norm int m/z_131.138176_2
O75146,17.309667300765017,17.942133598779918,17.468866624623868,17.951663213371713,17.737980072626854,17.69924709450952,,,,,,
Q5JRX3,19.19512544872809,19.331969501951722,19.276135767180108,19.333314796347306,19.618317386768588,19.255892248678045,17.836599005586475,17.955008461216604,17.713352949760967,18.145666012959882,18.353039108795286,17.706317261949806
O60237,20.28295096353858,20.315914070660057,20.38154717571176,20.18510348142723,20.15494663290174,20.14970309127424,20.088452474352536,20.045757662021966,20.090578309492017,19.953223115196607,19.95277892113425,19.932662438715145
P13611,18.539219406905378,18.785054893170116,18.563944303482348,19.111051287716865,19.561331059476217,19.23658095107583,18.710999192177024,18.9298613418732,18.703133043811683,19.054477135429547,19.44237997475407,19.236249383571472
Q9UMN6,18.878074868013197,18.959145400190366,18.93892389238882,18.723878650639254,18.690710764583965,18.68997521762715,18.37957297426444,18.32476288413962,18.376439146754834,18.09955585270749,18.004922678569045,18.104045843839373
Q14160,18.652459885571737,18.720479748663355,18.75384514014147,18.728840586264702,18.642037586407188,18.732548378103818,,,,,,
Q9UKV3,20.493685924020728,20.147661434797644,20.59247437444088,20.058287742612958,19.962332624940707,19.881465764735946,19.883472245454538,19.66856691229611,19.957850581595757,19.48538761459295,19.396503919272657,19.33900507864969
Q9BXX0,17.991258867731332,17.649799977110433,17.48697246690597,17.431252737968197,18.18136096500928,17.8318515169955,18.197315095472852,17.735899733616577,17.66415558265688,17.52408253585985,18.30207660006722,17.969338738023517
P22105,17.816124293064927,18.003565949171158,17.8489942140142,17.923413089502166,18.144951937425645,17.985245748424884,17.718479362649422,17.767014090568058,17.790017518720948,17.66826729793513,17.703319630850828,17.718741559442243
Q9H254,19.262295998567847,19.190607602636398,19.416961740087526,19.199378390504002,19.376983820304726,19.32651140623018,19.676215706642523,19.60708319638069,19.76554154471998,19.58617641669511,19.644193577530274,19.667979484900606
P0C0L4,18.680713203090423,18.69035952775421,18.675970811671803,18.4269055717036,18.782359993009454,18.520066147288478,18.61274793658879,18.640169017031013,18.585745611789083,18.448785797550094,18.489646117623266,18.45380916450328
Q8WWI1,15.96724877825066,16.006249365367236,16.12609945932765,16.056711795262906,16.310657155209423,16.336471691469306,17.238218120384634,17.289796739639147,17.33044714519044,17.379668829810143,17.75628702993402,17.551873450837526
P08572,18.515181345883263,18.166344546009334,18.402459727744482,18.31761576111132,18.624406377118742,18.28138823561616,18.859761493908668,18.61892135143652,18.842734741991684,18.763658957014542,18.96544188573821,18.68723555739207
Q9BZ95,19.058446299695937,18.966428000048474,19.020697863755636,19.078493538467594,19.073172694639847,19.01786184446021,,,,,,
P02462,17.845790172820532,17.67077033810882,17.778035408056496,17.65131802237168,17.907430565931907,17.841269488914094,17.777809128251114,17.692227262067238,17.78945563697224,17.689941683273084,17.897420070467742,17.72597528557942
P02461,15.294243801315236,15.774040609461224,15.951614839411132,15.557867518315978,16.053236517821656,16.38667927870176,,,,,,
Q12955,19.128412266493083,19.154182736456026,19.212522508346623,19.029186377161796,19.12967694691164,19.006154016185526,19.19237168561641,19.11373580826498,19.2715781503899,19.107925813027244,19.13632843508364,19.129051539210554
Q9NZM3,20.8457878762065,20.876172178956477,20.75690850000439,20.74715834309453,20.470477167492476,20.663205840745643,,,,,,
Q9Y4K1,17.54951395677361,17.648459404146987,17.539450405036963,17.743243453468192,18.073775472989034,18.079789445148666,,,,,,
Q01955,18.444561992104195,18.16396409141227,18.426444949269687,18.283289607825317,18.52481715240727,18.273613502827576,19.016423377685122,18.779942130412042,19.046976091792565,18.9355780130662,19.168905892794832,18.896094367503487
P29400,18.702767912403594,18.420190516787702,18.597905241766465,18.5144829135112,18.756398323650746,18.593484133354213,18.632685529292132,18.4491153881238,18.655237212637356,18.55340243016267,18.78709987909569,18.541347166542874
Q9UQ35,18.134659443759297,18.20952951939607,18.077439023014257,18.452001881613302,18.56610793897737,18.59355707861935,17.810273510893328,17.658033617887902,17.873161707699396,17.907178213652934,18.00661645567624,18.007427010835315
Q7Z2Z1,17.71472848203181,17.783903063739597,17.722260547899,17.730589543066806,17.571289730257877,17.679923313764256,,,,,,
A4UGR9,17.39496779395783,17.4021737763271,17.332759236305417,17.676058096869365,17.850313036192684,17.55516825039855,17.412088079687752,17.5555833443057,17.3565336422216,17.687103963225955,17.834994077788984,17.599865636609724
Q13796,19.291688957815865,19.244312728854617,19.22091320211891,19.28565168679111,19.089555222088286,19.180709258725138,20.120045773065886,20.103292291211027,20.089816394846732,20.10877902845987,20.156798761378422,20.11198189759816
