,Prosser_1383_Control.txt,Prosser_1195_Disease.txt,Prosser_1427_Disease.txt,Prosser_1136_Disease.txt,Prosser_1325_Control.txt,Prosser_1467_Disease.txt,Prosser_1119_Disease.txt,Prosser_1085_Control.txt,Prosser_1198_Disease.txt,Prosser_1228_Disease.txt,Prosser_1288_Disease.txt,Prosser_1146_Disease.txt,Prosser_1425_Disease.txt,Prosser_1200_Control.txt,Prosser_1605_Disease.txt,Prosser_1273_Control.txt,Prosser_1311_Disease.txt,Prosser_1510_Disease.txt,Prosser_1375_Disease.txt,Prosser_1205_Disease.txt,Prosser_1366_Disease.txt,Prosser_1290_Disease.txt,Prosser_1462_Disease.txt,Prosser_1535_Disease.txt,Prosser_1339_Control.txt,Prosser_1004_Disease.txt,Prosser_1602_Disease.txt,Prosser_1356_Control.txt,Prosser_1320_Disease.txt,Prosser_1209_Disease.txt,Prosser_1379_Disease.txt,Prosser_1304_Disease.txt,Prosser_1472_Disease.txt,Prosser_1086_Disease.txt
O14828,,,,,,,,,,,,,,,,,3,,,2,,,,,,,,,,,,,,3
Q9BT25,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
Q01850,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
Q969Z3,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,
P35611,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
Q96JP9,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
P09917,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
O00139,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
P52732,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
Q8NEV4,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
P01031,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
Q15459,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
O60293,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
O14735,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,2,,,,,
Q9Y676,,,,,,,,,,,,,,,,,,3,3,,,,,,,,2,,,,,3,,
Q9HCJ6,,,,,,,,,,,,,,,,,,2,,,,,,4,2,,,,,,,3,2,
P21810,,,,,,,,,,,,,,,,,,4,,,,,,,2,,,3,5,,3,,,
Q5SSJ5,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,3,,
Q13616,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,,,,,
Q8IZ83,,,,,,,,,,,,,,,,,,2,,,,,,,3,,,,,,,,,
P78344,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2,
Q5T5U3,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
Q14966,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
O60437,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
Q8N3K9,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
Q9BXT5,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
P05976,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
Q14165,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,
Q96D15,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
P05090,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
Q9Y6C9,,,,,,,,,,,,,,,,,,,2,,,2,,,,,,,,,2,,,
P25685,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,
P14317,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
O95870,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,
Q8NBQ7,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,
P00488,,,,,,,,,,,,,,,,,,,2,3,,,,,,2,,,,,,,,
Q08378,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
P07996,,,,,,,,,,,,,,,,,,,3,,,,2,,,,,5,3,,,,,
P10243,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
Q5JSZ5,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
P02751,,,,,,,,,,,,,,,,,,,3,,2,,,,5,,,,,,,,,
Q6ZRS2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
L0R6Q1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,2,,,,,
P62753,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,,
Q3SXM5,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
O43293,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
Q6PCB7,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
Q96RP9,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,2,,,,,,
Q8IWA4,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
Q9H2M9,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
Q502W6,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
Q14980,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
Q8IUG5,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,3,,,,
Q8NFC6,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
Q96JB1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
P60842,,,,,,,,,,,,,,,,,,,,,7,3,,,,6,,7,,,,,,
O43504,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,
P20339,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,
P61020,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,
P51148,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,
P25311,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,3,,,,,
Q96BQ5,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
Q9Y3A5,,,,,,,,,,,,,,,,,,,,,2,,2,2,,,,,,2,,,,
O94760,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,
Q9BPW8,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,
P18621,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
Q9NZJ7,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,
O00505,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
Q9HDC9,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,
O43776,,,,,,,,,,,,,,,,,,,,,4,,,,,,2,,,,,,,
Q9Y3Z3,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
Q9UEY8,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
Q9Y2D5,,,,,,,,,,,,,,,,,,,,,3,,,,,2,,3,,,,,,
P17980,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
Q92538,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
Q0VDD8,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
O14880,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,
P62140,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
P53618,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,,,,,,,
A0AUZ9,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
Q9NUQ3,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,
P49327,,,,,,,,,,,,,,,,,,,,,,7,2,,,4,,2,3,,,,,
Q92729,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
Q9Y6R1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
Q15746,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,
Q8TDM6,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
O75691,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
Q9HBH5,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,2,,,,
Q9BQ69,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
Q9UBC5,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
Q3V6T2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
P05109,,,,,,,,,,,,,,,,,,,,,,,,3,,,,2,,,,,,
O75223,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
Q15126,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
P12882,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,
Q9Y608,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,
Q13586,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
Q14005,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,2,,3,2
Q96L96,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
P51571,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
Q9BRG1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,
Q86SX6,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
P27361,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,
Q9BQA1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
Q9NVA1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
Q9Y3F4,,,,,,,,,,,,,,,,,,,,,,,,,3,,,2,,,,,,
Q9H2K0,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
O60662,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,
Q9NZU5,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
P26196,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
P18031,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
O43143,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,,,,,,,
Q8NDH3,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
Q9NPQ8,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
Q16222,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
P49354,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
Q07960,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,2,,,,
P61221,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
Q15642,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
Q13409,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
Q96A65,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
P22102,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
O00308,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
Q9HAU0,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
P30622,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
O75339,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
Q9UQ35,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
Q8TD57,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
A4UGR9,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
Q9NR09,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
O76070,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
P61457,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
P02747,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
O43175,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,,,,,
P09936,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,3,,,,,
P01160,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,2,,,,
P49593,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
P52209,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
P15559,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
Q15181,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
Q9UBP4,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,
Q9UGJ0,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
P50552,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
Q53H12,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,3,,
P16930,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,
O60282,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
Q12797,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
P19021,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
O14787,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
Q5RHP9,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
Q9NQ90,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
P39059,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
O15372,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
Q96FV2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
Q68DE3,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
Q9BU61,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,
P26583,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
P00491,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
Q13155,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
P26022,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
O00487,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
Q99541,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,
P27169,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,
P52888,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
Q05469,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
Q15393,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
Q02224,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
P21291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,2,,
Q16527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,3,,
Q15257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
P13667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
P08246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
P02730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
P46379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
P02549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
P51531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
P16157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
Q92552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
Q9BYT8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
P62244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
P08579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
P49585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
Q16775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
Q96EY7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
O95479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
Q9UQ90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
Q8WXI4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
P23677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
Q9UDY4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
P80303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
Q9BTV4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
Q15020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
O43896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
Q6ZP82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
Q15772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
Q8NI37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
Q9Y570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
O43324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Q6P1N9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
O15143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
P32455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
P32456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
O94885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
O60333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Q12756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
