,Prosser_1383_Control.txt,Prosser_1195_Disease.txt,Prosser_1427_Disease.txt,Prosser_1136_Disease.txt,Prosser_1325_Control.txt,Prosser_1467_Disease.txt,Prosser_1119_Disease.txt,Prosser_1085_Control.txt,Prosser_1198_Disease.txt,Prosser_1228_Disease.txt,Prosser_1288_Disease.txt,Prosser_1146_Disease.txt,Prosser_1425_Disease.txt,Prosser_1200_Control.txt,Prosser_1605_Disease.txt,Prosser_1273_Control.txt,Prosser_1311_Disease.txt,Prosser_1510_Disease.txt,Prosser_1375_Disease.txt,Prosser_1205_Disease.txt,Prosser_1366_Disease.txt,Prosser_1290_Disease.txt,Prosser_1462_Disease.txt,Prosser_1535_Disease.txt,Prosser_1339_Control.txt,Prosser_1004_Disease.txt,Prosser_1602_Disease.txt,Prosser_1356_Control.txt,Prosser_1320_Disease.txt,Prosser_1209_Disease.txt,Prosser_1379_Disease.txt,Prosser_1304_Disease.txt,Prosser_1472_Disease.txt,Prosser_1086_Disease.txt
P62495,2,,,4,4,2,3,4,,4,3,3,5,2,2,2,,3,2,2,,3,4,2,5,,3,,2,2,2,3,2,2
P45954,3,5,3,4,,4,6,,5,3,2,5,3,3,5,4,5,3,5,4,3,4,3,6,2,3,5,3,3,4,4,4,3,4
P13807,4,10,7,8,6,4,10,4,7,5,4,7,3,12,6,4,7,10,6,8,10,6,3,4,5,,4,4,7,4,8,6,4,3
O95810,2,3,3,2,,3,2,,2,,2,2,,,3,2,4,2,2,2,2,,2,3,2,4,2,2,,3,,2,,2
Q9NUB1,6,4,3,5,6,4,6,4,3,4,5,7,5,5,3,5,2,5,4,4,8,4,4,3,5,2,5,3,3,4,8,5,3,5
Q86WU2,4,,2,,,,,,2,,,,,2,,,,,2,2,,,,,2,,2,,2,3,,,2,2
P23381,3,3,6,3,,3,2,,3,4,3,2,3,3,,4,4,5,3,3,,2,2,4,6,4,3,4,3,3,3,3,3,2
P13473,2,,,,2,3,,2,,3,2,,2,,,,,,,2,2,2,2,3,3,2,3,2,,,3,2,3,
Q9UNZ2,4,3,3,3,2,2,3,,3,,,,,,,4,4,2,4,3,,2,3,2,2,,2,3,,2,,,2,3
Q8N335,2,4,4,5,4,4,6,4,3,3,5,8,3,9,,3,4,3,6,6,2,4,,4,5,5,4,8,3,2,3,4,5,3
P35573,11,12,12,16,15,10,17,17,15,11,14,19,8,18,12,9,10,12,12,22,19,10,7,14,14,4,12,14,7,8,12,11,13,2
P05155,2,4,3,,,,,,4,,,2,,,,2,4,,7,,5,,,,,3,,4,,,,,,4
O00429,4,4,2,4,5,6,,4,3,3,3,3,6,4,4,3,,4,,2,4,5,3,6,5,3,4,3,4,7,3,4,5,2
P60900,2,4,4,5,3,2,5,3,2,3,4,6,3,7,3,3,3,2,2,3,5,,2,2,2,2,,5,5,2,4,2,2,4
P52179,11,10,24,20,17,21,17,13,16,16,18,19,19,19,21,20,29,16,17,21,21,21,8,19,15,8,18,20,10,12,14,18,16,20
Q8WUM4,8,3,9,8,4,3,6,6,5,8,5,7,7,12,4,8,5,5,5,8,9,4,4,7,8,5,3,6,3,4,4,6,6,5
P55290,5,2,4,3,3,3,3,3,2,6,6,5,4,4,4,4,5,4,6,4,4,6,3,3,4,2,5,4,2,3,4,5,3,4
P50995,2,4,6,2,6,9,4,4,,6,7,4,11,4,4,,7,10,4,3,5,9,4,5,6,4,7,4,3,8,7,5,6,4
P11766,2,3,2,,4,4,,2,4,3,5,2,,,3,,4,2,3,2,3,4,,3,4,3,2,2,3,2,3,3,3,
Q15365,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P11586,4,3,,3,7,5,2,5,3,4,4,5,5,5,4,5,2,4,2,3,5,,6,6,6,3,5,2,2,4,4,4,7,4
P22033,3,,2,3,5,5,4,6,5,6,4,4,4,2,4,5,,5,,4,4,4,,5,6,4,7,2,,2,7,4,6,
O43237,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q14315,14,24,21,21,15,21,27,17,22,18,22,24,10,27,27,15,22,30,23,38,31,28,13,17,44,14,23,19,14,18,12,23,16,13
Q00610,10,11,11,13,13,13,18,13,12,12,14,15,17,16,11,11,17,15,9,21,15,19,10,15,17,9,11,16,10,20,15,22,17,12
P07602,8,,,4,5,2,,,,,3,4,,4,,3,4,4,4,3,4,2,4,,2,4,,4,,4,2,,,
Q14108,2,2,,,2,2,,3,,3,2,2,3,2,2,,,3,,3,,,3,,2,,2,,,5,,2,2,3
P10768,4,4,4,5,,4,4,,3,3,2,3,4,4,3,4,3,3,3,4,3,3,4,3,2,,2,,3,3,3,,3,3
Q99714,6,7,6,5,2,3,6,3,5,3,4,5,2,7,3,6,3,6,6,6,7,4,5,3,3,4,3,6,2,6,4,3,4,6
P02545,3,15,16,12,2,11,2,11,6,12,7,5,5,4,6,6,24,5,7,13,8,12,7,7,7,26,11,11,10,10,2,8,5,8
P05166,2,,,,2,,,,,,,,,,,2,2,,,,3,,2,,,,,,,2,,,,
P12081,2,2,2,,2,3,4,,,,2,3,,4,,2,2,,,3,,4,2,,3,,,,,,,3,,
P04040,2,5,3,3,4,,,2,4,2,3,5,,3,4,3,5,4,4,4,,2,4,3,5,5,,,6,,,3,2,5
Q6NUK1,3,,,,,2,,2,,,,2,2,,,,,3,,2,,,,2,2,,3,,,,,,2,2
P06733,5,11,9,12,6,6,9,7,7,7,7,8,5,9,,8,9,8,11,9,10,7,5,6,6,11,4,9,6,7,6,5,5,9
